new_date,lat,long,speed,datetime,co,no2,o3,pm10,pm25,so2
2018-07-01T05:00:00,40.7719,-73.99401,0.0,2018-07-01T05:00:00,379.68,61.11,24.14,79.55,19.58,0.08
2018-07-01T05:00:00,40.7604,-74.00328,39.14,2018-07-01T05:00:00,403.08,66.22,24.74,67.38,21.38,0.08
2018-07-01T05:00:00,40.70158,-73.99033,33.55,2018-07-01T05:00:00,412.11,66.61,26.7,79.33,20.09,0.07
2018-07-01T05:00:00,40.730165,-73.87643,0.0,2018-07-01T05:00:00,367.8,44.23,29.7,64.86,24.42,0.07
2018-07-02T06:00:00,40.66579,-73.75706,31.68,2018-07-02T06:00:00,414.54,39.52,14.46,63.54,29.13,0.83
2018-07-02T06:00:00,40.70895,-73.996941,32.93,2018-07-02T06:00:00,455.08,44.86,21.06,50.8,26.16,1.27
2018-07-02T06:00:00,40.76212,-74.91,18.64,2018-07-02T06:00:00,333.47,8.91,24.92,17.26,16.2,0.02
2018-07-02T06:00:00,40.74137,-74.00893,15.53,2018-07-02T06:00:00,455.69,44.17,21.29,50.39,26.33,1.44
2018-07-02T06:00:00,40.73895,-74.01012,22.99,2018-07-02T06:00:00,457.26,55.82,21.32,55.99,27.23,1.43
2018-07-03T08:00:00,40.66579,-73.75706,41.01,2018-07-03T08:00:00,333.81,30.33,23.1,47.28,22.01,0.76
2018-07-03T08:00:00,40.70895,-73.996941,11.18,2018-07-03T08:00:00,311.05,24.66,19.42,50.68,24.24,1.23
2018-07-03T08:00:00,40.76212,-74.91,9.94,2018-07-03T08:00:00,367.42,10.65,21.34,25.64,16.0,0.02
2018-07-03T08:00:00,40.74137,-74.00893,10.56,2018-07-03T08:00:00,303.37,41.5,19.36,69.77,26.62,1.42
2018-07-03T08:00:00,40.73895,-74.01012,22.36,2018-07-03T08:00:00,303.49,37.53,19.33,67.46,24.76,1.42
2018-07-03T14:00:00,40.66579,-73.75706,21.12,2018-07-03T14:00:00,399.41,33.32,27.71,50.1,20.92,0.75
2018-07-03T14:00:00,40.76212,-74.91,15.53,2018-07-03T14:00:00,309.8,2.24,31.53,18.24,12.22,0.03
2018-07-03T14:00:00,40.74137,-74.00893,3.1,2018-07-03T14:00:00,410.26,30.68,23.47,67.08,25.65,1.39
2018-07-03T14:00:00,40.73895,-74.01012,16.15,2018-07-03T14:00:00,410.83,30.28,23.47,53.28,22.18,1.39
2018-07-04T15:00:00,40.66579,-73.75706,51.57,2018-07-04T15:00:00,395.16,40.13,33.08,58.93,26.87,0.45
2018-07-04T15:00:00,40.70895,-73.996941,0.0,2018-07-04T15:00:00,392.05,35.63,30.0,56.33,23.73,0.7
2018-07-04T15:00:00,40.76212,-74.91,13.67,2018-07-04T15:00:00,440.96,3.14,29.09,19.29,9.71,0.03
2018-07-04T15:00:00,40.74137,-74.00893,14.91,2018-07-04T15:00:00,365.31,30.92,29.28,59.78,23.04,0.8
2018-07-04T15:00:00,40.67374,-73.80154,31.68,2018-07-04T15:00:00,394.74,23.42,32.68,57.93,24.69,0.47
2018-07-04T19:00:00,40.66579,-73.75706,52.19,2018-07-04T19:00:00,412.05,35.74,59.36,70.06,22.83,0.41
2018-07-04T19:00:00,40.76212,-74.91,18.64,2018-07-04T19:00:00,354.64,0.65,53.84,18.23,11.35,0.02
2018-07-04T19:00:00,40.74137,-74.00893,18.01,2018-07-04T19:00:00,392.46,24.7,71.29,46.31,24.84,0.74
2018-07-06T01:00:00,40.66579,-73.75706,57.16,2018-07-06T01:00:00,236.45,38.45,22.76,44.67,16.26,0.42
2018-07-06T01:00:00,40.76212,-74.91,14.91,2018-07-06T01:00:00,185.06,2.99,36.06,13.9,6.38,0.01
2018-07-06T01:00:00,40.74137,-74.00893,20.5,2018-07-06T01:00:00,276.68,25.05,24.54,43.72,12.67,0.74
2018-07-06T01:00:00,40.73895,-74.01012,29.2,2018-07-06T01:00:00,279.57,19.82,24.73,28.4,12.49,0.74
2018-07-06T01:00:00,40.67374,-73.80154,37.9,2018-07-06T01:00:00,238.0,39.37,22.6,47.13,13.78,0.44
2018-07-06T02:00:00,40.66579,-73.75706,58.4,2018-07-06T02:00:00,230.77,30.42,22.13,28.54,13.94,0.42
2018-07-06T02:00:00,40.76212,-74.91,14.91,2018-07-06T02:00:00,169.16,2.8,35.05,11.68,7.01,0.01
2018-07-06T02:00:00,40.74137,-74.00893,19.88,2018-07-06T02:00:00,274.86,25.33,23.57,30.88,13.28,0.73
2018-07-06T02:00:00,40.73895,-74.01012,28.58,2018-07-06T02:00:00,277.41,18.42,23.7,28.52,10.89,0.73
2018-07-06T02:00:00,40.67374,-73.80154,46.6,2018-07-06T02:00:00,232.33,37.43,22.06,45.13,16.92,0.44
2018-07-06T15:00:00,40.66579,-73.75706,19.88,2018-07-06T15:00:00,241.42,40.31,34.73,32.8,13.79,0.45
2018-07-06T15:00:00,40.76212,-74.91,13.04,2018-07-06T15:00:00,187.65,1.94,25.4,8.03,5.16,0.02
2018-07-06T15:00:00,40.74137,-74.00893,18.64,2018-07-06T15:00:00,270.91,30.11,29.88,42.26,18.45,0.81
2018-07-06T15:00:00,40.73895,-74.01012,24.23,2018-07-06T15:00:00,272.41,30.07,29.97,29.5,12.8,0.8
2018-07-06T15:00:00,40.67374,-73.80154,13.04,2018-07-06T15:00:00,242.13,40.38,34.58,39.58,14.1,0.47
2018-07-07T02:00:00,40.66579,-73.75706,57.78,2018-07-07T02:00:00,127.08,23.23,30.02,22.13,15.26,0.12
2018-07-07T02:00:00,40.76212,-74.91,12.42,2018-07-07T02:00:00,142.42,3.53,31.32,11.17,11.43,0.02
2018-07-07T02:00:00,40.74137,-74.00893,19.88,2018-07-07T02:00:00,89.51,21.73,34.14,23.6,10.56,0.19
2018-07-07T02:00:00,40.73895,-74.01012,26.09,2018-07-07T02:00:00,88.73,12.38,34.11,23.98,10.51,0.19
2018-07-07T02:00:00,40.67374,-73.80154,45.36,2018-07-07T02:00:00,125.31,35.76,29.91,39.56,17.58,0.12
2018-07-07T04:00:00,40.66579,-73.75706,59.03,2018-07-07T04:00:00,105.32,30.72,31.58,22.85,11.89,0.02
2018-07-07T04:00:00,40.76212,-74.91,9.94,2018-07-07T04:00:00,139.04,3.52,29.48,5.95,7.17,0.02
2018-07-07T04:00:00,40.74137,-74.00893,21.12,2018-07-07T04:00:00,86.21,19.74,31.71,22.99,10.76,0.0
2018-07-07T04:00:00,40.73895,-74.01012,29.82,2018-07-07T04:00:00,86.33,12.4,31.71,23.0,10.67,0.01
2018-07-07T04:00:00,40.67374,-73.80154,41.63,2018-07-07T04:00:00,104.71,14.75,31.64,22.35,14.69,0.02
2018-07-07T06:00:00,40.66579,-73.75706,57.78,2018-07-07T06:00:00,101.64,16.83,29.74,11.43,11.15,0.02
2018-07-07T06:00:00,40.76212,-74.91,13.67,2018-07-07T06:00:00,137.04,3.57,26.51,4.36,5.32,0.02
2018-07-07T06:00:00,40.74137,-74.00893,20.5,2018-07-07T06:00:00,81.02,13.8,30.97,23.55,11.23,0.0
2018-07-07T06:00:00,40.73895,-74.01012,26.71,2018-07-07T06:00:00,81.07,29.55,30.97,28.34,11.1,0.0
2018-07-07T11:00:00,40.66579,-73.75706,40.38,2018-07-07T11:00:00,111.78,30.8,29.87,29.33,11.37,0.02
2018-07-07T11:00:00,40.70895,-73.996941,5.59,2018-07-07T11:00:00,81.08,2.74,31.62,10.0,0.46,0.01
2018-07-07T11:00:00,40.76212,-74.91,12.42,2018-07-07T11:00:00,119.98,5.81,20.95,5.13,6.11,0.03
2018-07-07T11:00:00,40.74137,-74.00893,13.67,2018-07-07T11:00:00,76.29,19.86,31.3,23.55,13.96,0.0
2018-07-07T11:00:00,40.73895,-74.01012,21.12,2018-07-07T11:00:00,75.4,10.78,31.39,23.52,11.27,0.01
2018-07-07T19:00:00,40.66579,-73.75706,42.25,2018-07-07T19:00:00,206.8,33.36,53.69,36.12,14.74,0.03
2018-07-07T19:00:00,40.76212,-74.91,13.67,2018-07-07T19:00:00,176.85,0.59,45.3,5.07,4.67,0.0
2018-07-07T19:00:00,40.74137,-74.00893,11.18,2018-07-07T19:00:00,190.95,21.87,53.85,22.17,15.77,0.01
2018-07-07T19:00:00,40.73895,-74.01012,19.88,2018-07-07T19:00:00,191.68,10.58,53.82,22.18,15.82,0.01
2018-07-08T00:00:00,40.66579,-73.75706,53.43,2018-07-08T00:00:00,208.64,34.53,41.78,34.24,13.04,0.06
2018-07-08T00:00:00,40.66579,-73.75706,53.43,2018-07-08T00:00:00,208.64,34.53,41.78,34.24,13.04,0.06
2018-07-08T00:00:00,40.76212,-74.91,10.56,2018-07-08T00:00:00,178.62,4.61,40.03,15.19,5.87,0.04
2018-07-08T00:00:00,40.76212,-74.91,10.56,2018-07-08T00:00:00,178.62,4.61,40.03,15.19,5.87,0.04
2018-07-08T00:00:00,40.74137,-74.00893,17.39,2018-07-08T00:00:00,219.03,27.84,40.86,46.95,14.55,0.06
2018-07-08T00:00:00,40.74137,-74.00893,17.39,2018-07-08T00:00:00,219.03,27.84,40.86,46.95,14.55,0.06
2018-07-08T00:00:00,40.73895,-74.01012,18.64,2018-07-08T00:00:00,219.8,18.5,40.92,29.04,11.91,0.06
2018-07-08T00:00:00,40.73895,-74.01012,18.64,2018-07-08T00:00:00,219.8,18.5,40.92,29.04,11.91,0.06
2018-07-08T02:00:00,40.66642,-73.78958,27.34,2018-07-08T02:00:00,200.75,42.15,32.79,56.03,15.15,0.03
2018-07-08T02:00:00,40.66579,-73.75706,56.54,2018-07-08T02:00:00,199.65,37.21,32.92,35.9,13.72,0.03
2018-07-08T02:00:00,40.69236,-73.99939,42.25,2018-07-08T02:00:00,220.62,22.62,34.7,43.84,15.14,0.02
2018-07-08T02:00:00,40.76212,-74.91,13.67,2018-07-08T02:00:00,200.21,7.91,40.32,20.4,5.63,0.06
2018-07-08T02:00:00,40.74137,-74.00893,20.5,2018-07-08T02:00:00,215.64,23.32,33.51,39.02,12.64,0.01
2018-07-08T02:00:00,40.73868,-73.973391,46.6,2018-07-08T02:00:00,205.19,42.21,32.97,40.24,12.27,0.01
2018-07-08T02:00:00,40.73895,-74.01012,26.71,2018-07-08T02:00:00,217.29,13.7,33.61,33.19,13.27,0.01
2018-07-08T02:00:00,40.67374,-73.80154,49.08,2018-07-08T02:00:00,199.52,39.32,32.62,47.53,13.08,0.03
2018-07-08T02:00:00,40.700841,-73.815751,56.54,2018-07-08T02:00:00,193.69,42.07,32.21,54.73,16.35,0.03
2018-07-08T03:00:00,40.66642,-73.78958,41.01,2018-07-08T03:00:00,246.16,47.62,28.51,48.7,13.46,0.04
2018-07-08T03:00:00,40.66579,-73.75706,57.16,2018-07-08T03:00:00,243.76,39.65,28.67,41.25,12.08,0.04
2018-07-08T03:00:00,40.76212,-74.91,11.8,2018-07-08T03:00:00,214.88,8.43,33.08,21.08,5.56,0.04
2018-07-08T03:00:00,40.74137,-74.00893,19.88,2018-07-08T03:00:00,293.98,36.05,30.35,38.26,12.9,0.02
2018-07-08T03:00:00,40.73895,-74.01012,28.58,2018-07-08T03:00:00,296.55,26.12,30.46,35.86,10.42,0.02
2018-07-08T03:00:00,40.67374,-73.80154,54.05,2018-07-08T03:00:00,245.41,44.54,28.24,53.97,14.76,0.04
2018-07-08T04:00:00,40.66642,-73.78958,31.68,2018-07-08T04:00:00,236.48,49.24,26.86,43.35,13.25,0.04
2018-07-08T04:00:00,40.66579,-73.75706,58.4,2018-07-08T04:00:00,236.52,45.78,26.93,54.29,13.61,0.04
2018-07-08T04:00:00,40.69236,-73.99939,44.73,2018-07-08T04:00:00,240.46,34.94,28.81,47.44,14.39,0.03
2018-07-08T04:00:00,40.76212,-74.91,13.04,2018-07-08T04:00:00,219.7,10.56,24.83,22.92,6.1,0.04
2018-07-08T04:00:00,40.74137,-74.00893,20.5,2018-07-08T04:00:00,236.7,34.01,28.28,36.33,11.6,0.02
2018-07-08T04:00:00,40.73868,-73.973391,42.87,2018-07-08T04:00:00,234.27,44.44,28.07,43.31,14.34,0.02
2018-07-08T04:00:00,40.73895,-74.01012,29.82,2018-07-08T04:00:00,237.49,22.35,28.34,36.83,11.28,0.02
2018-07-08T04:00:00,40.67374,-73.80154,52.81,2018-07-08T04:00:00,235.73,48.65,26.72,49.76,17.25,0.03
2018-07-08T04:00:00,40.700841,-73.815751,52.81,2018-07-08T04:00:00,233.11,50.48,26.33,64.88,17.45,0.03
2018-07-08T05:00:00,40.70158,-73.99033,29.2,2018-07-08T05:00:00,298.65,33.3,26.96,47.39,11.22,0.04
2018-07-08T06:00:00,40.66579,-73.75706,59.65,2018-07-08T06:00:00,277.06,24.85,29.62,37.74,12.8,0.04
2018-07-08T06:00:00,40.76212,-74.91,15.53,2018-07-08T06:00:00,230.73,10.84,21.14,29.7,10.91,0.05
2018-07-08T06:00:00,40.74137,-74.00893,21.12,2018-07-08T06:00:00,314.22,27.61,24.57,47.63,16.78,0.03
2018-07-08T06:00:00,40.73895,-74.01012,29.82,2018-07-08T06:00:00,316.02,45.39,24.8,51.67,15.62,0.03
2018-07-08T06:00:00,40.67374,-73.80154,17.39,2018-07-08T06:00:00,277.85,22.1,30.05,36.24,8.73,0.04
2018-07-08T08:00:00,40.66579,-73.75706,55.92,2018-07-08T08:00:00,266.76,30.63,20.6,36.85,11.76,0.05
2018-07-08T08:00:00,40.70895,-73.996941,33.55,2018-07-08T08:00:00,262.0,22.91,19.16,47.57,8.57,0.05
2018-07-08T08:00:00,40.76212,-74.91,14.29,2018-07-08T08:00:00,288.19,10.88,15.31,38.63,12.62,0.05
2018-07-08T08:00:00,40.74137,-74.00893,22.99,2018-07-08T08:00:00,254.6,40.79,19.14,53.62,17.9,0.05
2018-07-08T08:00:00,40.73895,-74.01012,24.85,2018-07-08T08:00:00,254.53,28.14,19.12,50.0,12.52,0.05
2018-07-08T08:00:00,40.67374,-73.80154,50.95,2018-07-08T08:00:00,266.19,26.98,20.86,37.8,8.13,0.05
